Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Num Training Samples
auprc,CLMBR,CLMBR_SK,"0.186 [0.121, 0.258]","0.218 [0.137, 0.307]","-0.032 [-0.053, -0.01]",0.0,256
auprc_c,CLMBR,CLMBR_SK,"0.824 [0.767, 0.873]","0.85 [0.793, 0.9]","-0.027 [-0.038, -0.014]",0.0,256
auroc,CLMBR,CLMBR_SK,"0.829 [0.773, 0.876]","0.859 [0.803, 0.906]","-0.03 [-0.042, -0.016]",0.0,256
ece,CLMBR,CLMBR_SK,"0.008 [0.005, 0.012]","0.008 [0.005, 0.012]","0.0 [-0.0, 0.001]",0.3,256
auprc,CLMBR_DAPT,GBM,"0.168 [0.107, 0.229]","0.049 [0.019, 0.088]","0.118 [0.073, 0.173]",0.0,32
auprc_c,CLMBR_DAPT,GBM,"0.802 [0.737, 0.861]","0.577 [0.552, 0.598]","0.226 [0.167, 0.28]",0.0,32
auroc,CLMBR_DAPT,GBM,"0.807 [0.745, 0.865]","0.586 [0.558, 0.609]","0.222 [0.161, 0.275]",0.0,32
ece,CLMBR_DAPT,GBM,"0.009 [0.004, 0.016]","0.011 [0.005, 0.02]","-0.002 [-0.004, -0.0]",0.008,32
auprc,CLMBR,GBM,"0.186 [0.121, 0.258]","0.164 [0.105, 0.231]","0.023 [0.005, 0.04]",0.014,256
auprc_c,CLMBR,GBM,"0.824 [0.767, 0.873]","0.78 [0.73, 0.829]","0.042 [0.027, 0.061]",0.0,256
auroc,CLMBR,GBM,"0.829 [0.773, 0.876]","0.777 [0.735, 0.82]","0.049 [0.032, 0.074]",0.0,256
ece,CLMBR,GBM,"0.008 [0.005, 0.012]","0.013 [0.007, 0.02]","-0.005 [-0.008, -0.002]",0.0,256
auprc,CLMBR,CLMBR_SK,"0.194 [0.124, 0.276]","0.23 [0.144, 0.326]","-0.036 [-0.058, -0.012]",0.0,512
auprc_c,CLMBR,CLMBR_SK,"0.827 [0.773, 0.874]","0.856 [0.803, 0.903]","-0.029 [-0.038, -0.018]",0.0,512
auroc,CLMBR,CLMBR_SK,"0.83 [0.779, 0.876]","0.862 [0.81, 0.907]","-0.032 [-0.042, -0.02]",0.0,512
ece,CLMBR,CLMBR_SK,"0.01 [0.007, 0.013]","0.009 [0.006, 0.012]","0.001 [-0.0, 0.001]",0.056,512
auprc,CLMBR_DAPT,CLMBR_SK,"0.234 [0.151, 0.321]","0.218 [0.137, 0.307]","0.015 [-0.003, 0.041]",0.13,256
auprc_c,CLMBR_DAPT,CLMBR_SK,"0.853 [0.797, 0.9]","0.85 [0.793, 0.9]","0.002 [-0.008, 0.014]",0.746,256
auroc,CLMBR_DAPT,CLMBR_SK,"0.858 [0.804, 0.904]","0.859 [0.803, 0.906]","-0.001 [-0.017, 0.013]",0.892,256
ece,CLMBR_DAPT,CLMBR_SK,"0.008 [0.005, 0.012]","0.008 [0.005, 0.012]","0.0 [-0.0, 0.001]",0.572,256
auprc,CLMBR,CLMBR_SK,"0.128 [0.085, 0.18]","0.163 [0.107, 0.226]","-0.035 [-0.058, -0.015]",0.0,32
auprc_c,CLMBR,CLMBR_SK,"0.766 [0.702, 0.824]","0.803 [0.728, 0.866]","-0.036 [-0.054, -0.014]",0.002,32
auroc,CLMBR,CLMBR_SK,"0.771 [0.709, 0.828]","0.812 [0.735, 0.872]","-0.041 [-0.06, -0.015]",0.0,32
ece,CLMBR,CLMBR_SK,"0.009 [0.005, 0.016]","0.009 [0.004, 0.016]","0.0 [-0.0, 0.001]",0.304,32
auprc,CLMBR,CLMBR_SK,"0.062 [0.036, 0.099]","0.078 [0.051, 0.12]","-0.016 [-0.03, -0.005]",0.004,2
auprc_c,CLMBR,CLMBR_SK,"0.605 [0.567, 0.637]","0.646 [0.594, 0.703]","-0.042 [-0.076, -0.013]",0.0,2
auroc,CLMBR,CLMBR_SK,"0.598 [0.561, 0.631]","0.639 [0.589, 0.694]","-0.042 [-0.08, -0.006]",0.012,2
ece,CLMBR,CLMBR_SK,"0.014 [0.006, 0.026]","0.015 [0.007, 0.028]","-0.002 [-0.003, -0.001]",0.0,2
auprc,CLMBR,CLMBR_SK,"0.075 [0.046, 0.112]","0.085 [0.052, 0.132]","-0.009 [-0.034, 0.009]",0.414,4
auprc_c,CLMBR,CLMBR_SK,"0.653 [0.606, 0.695]","0.671 [0.61, 0.735]","-0.018 [-0.056, 0.013]",0.288,4
auroc,CLMBR,CLMBR_SK,"0.652 [0.608, 0.688]","0.674 [0.613, 0.737]","-0.023 [-0.061, 0.015]",0.276,4
ece,CLMBR,CLMBR_SK,"0.015 [0.007, 0.025]","0.015 [0.007, 0.026]","-0.0 [-0.002, 0.001]",0.528,4
